# LS300D Modbus RTU 位址對照表

## 版本資訊
- 文件名稱: LS300D_modbus_address_v0.1.0.odt
- 建立日期: 2025-11-25
- 適用機種:  LS300D
- 來源: 基於 Control Logic 1-7 程式碼分析

---

## 一、控制邏輯啟用 (41xxx)

| Address | Function Code | Description | Unit | Data Type | R/W | Default | Note |
|---------|---------------|-------------|------|-----------|-----|---------|------|
| 41001 | 03/06 | CONTROL_LOGIC_1_ENABLE | N/A | bool | R/W | 1 | 溫度控制邏輯啟用 |
| 41002 | 03/06 | CONTROL_LOGIC_2_ENABLE | N/A | bool | R/W | 0 | 壓力差控制邏輯啟用 |
| 41003 | 03/06 | CONTROL_LOGIC_3_ENABLE | N/A | bool | R/W | 0 | 流量控制邏輯啟用 |
| 41004 | 03/06 | CONTROL_LOGIC_4_ENABLE | N/A | bool | R/W | 0 | AC泵浦控制邏輯啟用 |
| 41005 | 03/06 | CONTROL_LOGIC_5_ENABLE | N/A | bool | R/W | 0 | 補水泵控制邏輯啟用 |
| 41007 | 03/06 | CONTROL_LOGIC_7_ENABLE | N/A | bool | R/W | 1 | 雙DC泵控制邏輯啟用 |

---

## 二、系統狀態監控 (42xxx)

### 2.1 系統狀態

| Address | Function Code | Description | Unit | Data Type | R/W | Default | Note |
|---------|---------------|-------------|------|-----------|-----|---------|------|
| 42001 | 03 | SYSTEM_STATUS | N/A | uint16 | R | 0 | bit0:電源 bit1:運轉 bit2:待機 bit7:異常 bit8:液位 |

### 2.2 環境監測

| Address | Function Code | Description | Unit | Data Type | R/W | Default | Note |
|---------|---------------|-------------|------|-----------|-----|---------|------|
| 42021 | 03 | ENV_TEMP | 0.1°C | int16 | R | 0 | 環境溫度 |
| 42022 | 03 | HUMIDITY | 0.1%RH | uint16 | R | 0 | 環境濕度 |
| 42024 | 03 | DEW_POINT | 0.1°C | int16 | R | 0 | 露點溫度輸出 |

### 2.3 流量感測器 (0.1 L/min 精度)

| Address | Function Code | Description | Unit | Data Type | R/W | Default | Note |
|---------|---------------|-------------|------|-----------|-----|---------|------|
| 42062 | 03 | F1_FLOW | 0.1 L/min | uint16 | R | 0 | F1一次側進水流量 |
| 42063 | 03 | F2_FLOW | 0.1 L/min | uint16 | R | 0 | F2二次側出水流量 (主要控制) |
| 42064 | 03 | F3_FLOW | 0.1 L/min | uint16 | R | 0 | F3二次側進水流量 |
| 42065 | 03 | F4_FLOW | 0.1 L/min | uint16 | R | 0 | F4一次側出水流量 |

